first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
terd,tert,r,tert,,,tert,target,r,,3,t,d,terd,3,4,pseudo,block1
nitoidtan,nisoidtan,prs,toid,ni,tan,nitoidtan,control,r,,0,t,s,nisoidtan,1,9,pseudo,block1
sydsaij,sydsair,pr,saij,syd,,sydsaij,control,r,,3,j,r,sydsair,1,7,pseudo,block1
ermalnemt,ermélnemt,prs,mél,er,nemt,ermélnemt,control,r,,1,é,a,ermalnemt,3,9,pseudo,block1
jauner,jaunel,rs,jaun,,el,jaunel,target,s,0.0,1,l,r,jauner,3,6,pseudo,block1
ninaslatié,ninaslatiu,prss,nas,ni,la_tié,ninaslatié,control,s,1.0,2,é,u,ninaslatiu,1,10,pseudo,block1
tiocta,tiotta,rs,tioc,,ta,tiocta,control,r,,3,c,t,tiotta,1,6,pseudo,block1
recort,regort,pr,cort,re,,recort,target,r,,0,c,g,regort,1,6,pseudo,block1
pourbul,pourbul,pr,bul,pour,,pourbul,target,p,0.0,3,r,l,poulbul,0,7,pseudo,block1
indiot,indiot,pr,diot,in,,indiot,target,p,0.0,1,n,r,irdiot,0,6,pseudo,block1
onrroun,onrroun,pr,roun,onn,,onnroun,control,p,0.0,2,n,r,onrroun,2,7,pseudo,block1
prédéjaun,prédéjaun,ppr,jaun,pré_dé,,prédéjaun,target,r,,0,j,l,prédélaun,0,9,pseudo,block1
quorit,quorat,rs,quor,,at,quorat,target,s,0.0,0,a,i,quorit,3,6,pseudo,block1
fudlatié,fodlatié,rss,fod,,la_tié,fodlatié,control,r,,1,o,u,fudlatié,3,8,pseudo,block1
erédmaseag,erédlaseag,pprs,las,er_éd,eag,erédlaseag,control,r,,0,l,m,erédmaseag,3,10,pseudo,block1
détjévage,détrévage,prs,trév,dé,age,détrévage,target,r,,1,r,j,détjévage,3,9,pseudo,block1
préfil,préfil,pr,fil,pré,,préfil,target,p,0.0,0,p,t,tréfil,0,6,pseudo,block1
osroif,ocroif,pr,roif,oc,,ocroif,control,p,0.0,1,c,s,osroif,3,6,pseudo,block1
mifodvitié,mifidvitié,prss,fod,mi,vi_tié,mifodvitié,control,r,,1,o,i,mifidvitié,1,10,pseudo,block1
perm,pelm,r,pelm,,,pelm,control,r,,2,l,r,perm,3,4,pseudo,block1
trecvatié,trecvitié,rss,trec,,vi_tié,trecvitié,control,s,0.0,1,i,a,trecvatié,3,9,pseudo,block1
implédir,imprédir,ppr,dir,im_pré,,imprédir,target,p,1.0,1,r,l,implédir,3,8,pseudo,block1
édméleag,édméleag,prs,mél,éd,eag,édméleag,control,p,0.0,0,é,o,odméleag,0,8,pseudo,block1
précrus,précrus,pr,crus,pré,,précrus,target,p,0.0,0,p,t,trécrus,0,7,pseudo,block1
miérpvérh,miérpvérh,ppr,vért,mi_érp,,miérpvért,control,r,,3,t,h,miérpvérh,2,9,pseudo,block1
imprénièr,imprénièr,ppr,nièr,im_pré,,imprénièr,target,p,0.0,0,i,e,emprénièr,0,9,pseudo,block1
ertôls,ertôlc,pr,tôlc,er,,ertôlc,control,r,,3,c,s,ertôls,3,6,pseudo,block1
nouraval,nouraval,rss,nour,,iv_al,nourival,target,s,0.0,0,i,a,nouraval,2,8,pseudo,block1
répsurc,répserc,pr,surc,rép,,répsurc,control,r,,1,u,e,répserc,1,7,pseudo,block1
nouratle,nouratle,rs,nour,,able,nourable,target,s,0.0,1,b,t,nouratle,2,8,pseudo,block1
redédirage,redédirage,pprs,dir,re_dé,age,redédirage,target,p,0.0,1,e,u,rudédirage,0,10,pseudo,block1
lenour,renour,pr,nour,re,,renour,target,p,0.0,0,r,l,lenour,3,6,pseudo,block1
macla,masla,rs,mac,,la,macla,control,r,,2,c,s,masla,1,5,pseudo,block1
tioc,tioc,r,tioc,,,tioc,control,r,,2,o,é,tiéc,0,4,pseudo,block1
serenquor,surenquor,ppr,quor,sur_en,,surenquor,target,p,0.0,1,u,e,serenquor,3,9,pseudo,block1
tamion,camion,rs,cam,,ion,camion,target,r,,0,c,t,tamion,3,6,pseudo,block1
foiralisme,foiralismo,rss,foir,,al_isme,foiralisme,target,s,1.0,3,e,o,foiralismo,1,10,pseudo,block1
erédméliag,erédméleag,pprs,mél,er_éd,eag,erédméleag,control,s,0.0,0,e,i,erédméliag,3,10,pseudo,block1
lasvila,lasvila,rss,las,,vi_la,lasvila,control,r,,1,a,é,lésvila,0,7,pseudo,block1
erreigta,erreigta,prs,reig,er,ta,erreigta,control,s,0.0,1,a,é,erreigté,0,8,pseudo,block1
mirujvètié,mirujvitié,prss,ruj,mi,vi_tié,mirujvitié,control,s,0.0,1,i,è,mirujvètié,3,10,pseudo,block1
détrévant,détrévalt,prs,trév,dé,ant,détrévant,target,s,0.0,1,n,l,détrévalt,1,9,pseudo,block1
désenlémer,désenlémer,pprs,lém,dés_in,er,désinlémer,target,p,1.0,0,i,e,désenlémer,2,10,pseudo,block1
rêjuration,rêjuration,prss,jur,re,at_ion,rejuration,target,p,0.0,1,e,ê,rêjuration,2,10,pseudo,block1
riènta,reènta,rs,rièn,,ta,riènta,control,r,,1,i,e,reènta,1,6,pseudo,block1
surdofalt,surdofalt,prs,dof,sur,ant,surdofant,target,s,0.0,1,n,l,surdofalt,2,9,pseudo,block1
sunendiot,sunendiot,ppr,diot,sur_en,,surendiot,target,p,0.0,2,r,n,sunendiot,2,9,pseudo,block1
lièrique,lièrique,rs,nièr,,ique,nièrique,target,r,,0,n,l,lièrique,2,8,pseudo,block1
désensaner,désejsaner,pprs,san,dés_en,er,désensaner,target,p,1.0,1,n,j,désejsaner,1,10,pseudo,block1
loudisem,loudigem,rs,loud,,isem,loudisem,control,s,0.0,1,s,g,loudigem,1,8,pseudo,block1
erfodtaoin,erfostaoin,prss,fod,er,ta_oin,erfodtaoin,control,r,,2,d,s,erfostaoin,1,10,pseudo,block1
cid,cid,r,cid,,,cid,control,r,,0,c,s,sid,0,3,pseudo,block1
tiecoin,tiecoin,rs,tioc,,oin,tiocoin,control,r,,2,o,e,tiecoin,2,7,pseudo,block1
injuriveté,injuriveté,prss,jur,in,iv_ité,injurivité,target,s,1.0,0,i,e,injuriveté,2,10,pseudo,block1
trévaluté,trévalité,rss,trév,,al_ité,trévalité,target,s,1.0,0,i,u,trévaluté,3,9,pseudo,block1
socam,cocam,pr,cam,co,,cocam,target,p,0.0,0,c,s,socam,3,5,pseudo,block1
désendirer,désendiren,pprs,dir,dés_en,er,désendirer,target,s,0.0,1,r,n,désendiren,1,10,pseudo,block1
errouneig,errouneig,prs,roun,er,eag,errouneag,control,s,0.0,1,a,i,errouneig,2,9,pseudo,block1
ildirelité,indirelité,prss,dir,in,el_ité,indirelité,target,p,0.0,1,n,l,ildirelité,3,10,pseudo,block1
miérproun,miàrproun,ppr,roun,mi_érp,,miérproun,control,p,1.0,0,é,à,miàrproun,1,9,pseudo,block1
sédnenujre,sédnerujre,pprs,ruj,séd_ne,re,sédnerujre,control,r,,0,r,n,sédnenujre,3,10,pseudo,block1
vértlatié,vértlatié,rss,vért,,la_tié,vértlatié,control,s,1.0,0,t,q,vértlaqié,0,9,pseudo,block1
imprépnem,impréplem,ppr,plem,im_pré,,impréplem,target,r,,1,l,n,imprépnem,3,9,pseudo,block1
répédproc,répédtroc,ppr,troc,rép_éd,,répédtroc,control,r,,0,t,p,répédproc,3,9,pseudo,block1
lém,lém,r,lém,,,lém,target,r,,1,é,i,lim,0,3,pseudo,block1
certival,cerfival,rss,cert,,iv_al,certival,target,r,,3,t,f,cerfival,1,8,pseudo,block1
lub,luc,r,lub,,,lub,control,r,,2,b,c,luc,1,3,pseudo,block1
léus,léut,r,léut,,,léut,control,r,,3,t,s,léus,3,4,pseudo,block1
lémivité,rémivité,rss,lém,,iv_ité,lémivité,target,r,,0,l,r,rémivité,1,8,pseudo,block1
désencaler,désencaler,pprs,cam,dés_en,er,désencamer,target,r,,2,m,l,désencaler,2,10,pseudo,block1
raplasnemt,roplasnemt,prs,las,rop,nemt,roplasnemt,control,p,0.0,1,o,a,raplasnemt,3,10,pseudo,block1
erécnaseag,erécnaseag,pprs,nas,er_éd,eag,erédnaseag,control,p,1.0,1,d,c,erécnaseag,2,10,pseudo,block1
rusnuvért,rusnuvért,ppr,vért,rus_ne,,rusnevért,control,p,1.0,1,e,u,rusnuvért,2,9,pseudo,block1
nengier,nengier,pr,gier,non,,nongier,target,p,0.0,1,o,e,nengier,2,7,pseudo,block1
nitiocoin,nitiocein,prs,tioc,ni,oin,nitiocoin,control,s,0.0,0,o,e,nitiocein,1,9,pseudo,block1
dirisue,dirisue,rs,dir,,ique,dirique,target,s,0.0,1,q,s,dirisue,2,7,pseudo,block1
resanage,resarage,prs,san,re,age,resanage,target,r,,2,n,r,resarage,1,8,pseudo,block1
ennourunt,ennourunt,prs,nour,en,ant,ennourant,target,s,0.0,0,a,u,ennourunt,2,9,pseudo,block1
elrujtaoin,errujtaoin,prss,ruj,er,ta_oin,errujtaoin,control,p,0.0,1,r,l,elrujtaoin,3,10,pseudo,block1
jur,jur,r,jur,,,jur,target,r,,0,j,n,nur,0,3,pseudo,block1
toidleisem,toidlaisem,rss,toid,,la_isem,toidlaisem,control,s,0.0,1,a,e,toidleisem,3,10,pseudo,block1
gierovité,gierivité,rss,gier,,iv_ité,gierivité,target,s,0.0,0,i,o,gierovité,3,9,pseudo,block1
saij,saij,r,saij,,,saij,control,r,,0,s,x,xaij,0,4,pseudo,block1
tiocra,tiocla,rs,tioc,,la,tiocla,control,s,0.0,0,l,r,tiocra,3,6,pseudo,block1
erédlubeag,erédlubeag,pprs,lub,er_éd,eag,erédlubeag,control,p,1.0,0,é,a,eradlubeag,0,10,pseudo,block1
diot,dioc,r,diot,,,diot,target,r,,3,t,c,dioc,1,4,pseudo,block1
jain,jain,r,jaun,,,jaun,target,r,,2,u,i,jain,2,4,pseudo,block1
coitival,coitival,rss,coit,,iv_al,coitival,target,r,,3,t,c,coicival,0,8,pseudo,block1
redofation,redofation,prss,dof,re,at_ion,redofation,target,s,1.0,1,o,a,redofatian,0,10,pseudo,block1
lormal,normal,rs,norm,,al,normal,target,r,,0,n,l,lormal,3,6,real,block2
hiérerchie,hiérarchie,r,hiérarchie,,,hiérarchie,control,r,,4,a,e,hiérerchie,3,10,real,block2
prothèse,proshèse,r,prothèse,,,prothèse,control,r,,3,t,s,proshèse,1,8,real,block2
deuxaème,deuxième,rs,deux,,ième,deuxième,target,s,0.0,0,i,a,deuxaème,3,8,real,block2
bataille,bataille,r,bataille,,,bataille,control,r,,2,t,p,bapaille,0,8,real,block2
asthne,asthme,r,asthme,,,asthme,control,r,,4,m,n,asthne,3,6,real,block2
langousse,langousse,r,langouste,,,langouste,control,r,,7,t,s,langousse,2,9,real,block2
srincipe,principe,r,principe,,,principe,control,r,,0,p,s,srincipe,3,8,real,block2
diplomate,diplomate,r,diplomate,,,diplomate,control,r,,7,t,d,diplomade,0,9,real,block2
démontru,démontre,pr,montre,dé,,démontre,target,r,,5,e,u,démontru,3,8,real,block2
aussi,eussi,r,aussi,,,aussi,control,r,,0,a,e,eussi,1,5,real,block2
envol,entol,pr,vol,en,,envol,target,r,,0,v,t,entol,1,5,real,block2
indolole,indolole,prs,dol,in,ore,indolore,target,s,0.0,1,r,l,indolole,2,8,real,block2
personnel,personrel,rs,personn,,el,personnel,target,r,,6,n,r,personrel,1,9,real,block2
pantoifle,pantoifle,r,pantoufle,,,pantoufle,control,r,,5,u,i,pantoifle,2,9,real,block2
infrurouge,infrarouge,pr,rouge,infra,,infrarouge,target,p,0.0,4,a,u,infrurouge,3,10,real,block2
décompose,décomposa,pr,compose,dé,,décompose,target,r,,6,e,a,décomposa,1,9,real,block2
vinaisre,vinaigre,r,vinaigre,,,vinaigre,control,r,,5,g,s,vinaisre,3,8,real,block2
dosespoir,désespoir,pr,espoir,dés,,désespoir,target,p,0.0,1,é,o,dosespoir,3,9,real,block2
coqueluche,coqueluche,r,coqueluche,,,coqueluche,control,r,,4,e,o,coquoluche,0,10,real,block2
grenase,grenade,r,grenade,,,grenade,control,r,,5,d,s,grenase,3,7,real,block2
brouhaha,broehaha,r,brouhaha,,,brouhaha,control,r,,3,u,e,broehaha,1,8,real,block2
juspice,juspice,rs,just,,ice,justice,target,r,,3,t,p,juspice,2,7,real,block2
relire,relire,pr,lire,re,,relire,target,r,,3,e,i,reliri,0,6,real,block2
dénudo,dénudo,prs,nu,dé,dé,dénudé,target,s,0.0,1,é,o,dénudo,2,6,real,block2
liturgie,liturtie,r,liturgie,,,liturgie,control,r,,5,g,t,liturtie,1,8,real,block2
ruliure,reliure,prs,li,re,ure,reliure,target,p,0.0,1,e,u,ruliure,3,7,real,block2
sarabande,sarabande,r,sarabande,,,sarabande,control,r,,7,d,q,sarabanqe,0,9,real,block2
recouterte,recouverte,pr,couverte,re,,recouverte,target,r,,3,v,t,recouterte,3,10,real,block2
préalable,préalahle,r,préalable,,,préalable,control,r,,6,b,h,préalahle,1,9,real,block2
mergarine,margarine,r,margarine,,,margarine,control,r,,1,a,e,mergarine,3,9,real,block2
puartier,puartier,rs,quart,,ier,quartier,target,r,,0,q,p,puartier,2,8,real,block2
privilègi,privilègi,r,privilège,,,privilège,control,r,,8,e,i,privilègi,2,9,real,block2
déplaare,déplaare,pr,plaire,dé,,déplaire,target,r,,3,i,a,déplaare,2,8,real,block2
dégoût,dagoût,pr,goût,dé,,dégoût,target,p,0.0,1,é,a,dagoût,1,6,real,block2
cachumire,cachemire,r,cachemire,,,cachemire,control,r,,4,e,u,cachumire,3,9,real,block2
piscenlit,piscenlit,r,pissenlit,,,pissenlit,control,r,,3,s,c,piscenlit,2,9,real,block2
urgense,urgense,rs,urg,,ence,urgence,target,s,0.0,2,c,s,urgense,2,7,real,block2
carrosse,carlosse,r,carrosse,,,carrosse,control,r,,3,r,l,carlosse,1,8,real,block2
bravo,bravo,r,bravo,,,bravo,control,r,,0,b,x,xravo,0,5,real,block2
pingouin,pingouén,r,pingouin,,,pingouin,control,r,,6,i,é,pingouén,1,8,real,block2
jamais,jamais,r,jamais,,,jamais,control,r,,4,i,à,jamaàs,0,6,real,block2
spaghesti,spaghetti,r,spaghetti,,,spaghetti,control,r,,6,t,s,spaghesti,3,9,real,block2
concombre,concombre,r,concombre,,,concombre,control,r,,8,e,i,concombri,0,9,real,block2
gremier,grenier,r,grenier,,,grenier,control,r,,3,n,m,gremier,3,7,real,block2
accessoire,iccessoire,r,accessoire,,,accessoire,control,r,,0,a,i,iccessoire,1,10,real,block2
joueer,joueur,rs,jou,,eur,joueur,target,s,0.0,1,u,e,joueer,3,6,real,block2
prouesse,srouesse,r,prouesse,,,prouesse,control,r,,0,p,s,srouesse,1,8,real,block2
contrah,contrat,r,contrat,,,contrat,control,r,,6,t,h,contrah,3,7,real,block2
coltex,cortex,r,cortex,,,cortex,control,r,,2,r,l,coltex,3,6,real,block2
puinteur,puanteur,rss,pu,,ant_eur,puanteur,target,s,0.0,0,a,i,puinteur,3,8,real,block2
local,losal,r,local,,,local,control,r,,2,c,s,losal,1,5,real,block2
gourmand,gourmand,r,gourmand,,,gourmand,control,r,,7,d,p,gourmanp,0,8,real,block2
vitalité,vitalité,rss,vit,,al_ité,vitalité,target,s,1.0,0,i,e,vitaleté,0,8,real,block2
endurance,endurance,prs,dur,en,ance,endurance,target,r,,2,r,n,endunance,0,9,real,block2
genial,genial,rs,géni,,al,génial,target,r,,1,é,e,genial,2,6,real,block2
encorrect,incorrect,pr,correct,in,,incorrect,target,p,0.0,0,i,e,encorrect,3,9,real,block2
merserie,mercerie,r,mercerie,,,mercerie,control,r,,3,c,s,merserie,3,8,real,block2
ambassade,amtassade,r,ambassade,,,ambassade,control,r,,2,b,t,amtassade,1,9,real,block2
aissalle,aissalle,r,aisselle,,,aisselle,control,r,,4,e,a,aissalle,2,8,real,block2
sûrement,sûremejt,rs,sûre,,ment,sûrement,target,s,0.0,2,n,j,sûremejt,1,8,real,block2
elsuite,ensuite,pr,suite,en,,ensuite,target,p,0.0,1,n,l,elsuite,3,7,real,block2
incroyacle,incroyable,prs,croy,in,able,incroyable,target,s,0.0,1,b,c,incroyacle,3,10,real,block2
malignité,maliglité,rss,mal,,ign_ité,malignité,target,s,0.0,2,n,l,maliglité,1,9,real,block2
blague,bladue,r,blague,,,blague,control,r,,3,g,d,bladue,1,6,real,block2
ondulant,ondulant,rss,ond,,ul_ant,ondulant,target,r,,1,n,r,ordulant,0,8,real,block2
également,également,rs,égale,,ment,également,target,r,,2,a,e,égelement,0,9,real,block2
cmandestin,clandestin,r,clandestin,,,clandestin,control,r,,1,l,m,cmandestin,3,10,real,block2
salamandre,salanandre,r,salamandre,,,salamandre,control,r,,4,m,n,salanandre,1,10,real,block2
mousteche,moustache,r,moustache,,,moustache,control,r,,5,a,e,mousteche,3,9,real,block2
garagiste,garagiste,rss,gar,,ag_iste,garagiste,target,r,,2,r,n,ganagiste,0,9,real,block2
français,qrançais,rs,franç,,ais,français,target,r,,0,f,q,qrançais,1,8,real,block2
phase,phasi,r,phase,,,phase,control,r,,4,e,i,phasi,1,5,real,block2
guérillero,guérillero,r,guérillero,,,guérillero,control,r,,3,r,l,guélillero,0,10,real,block2
artistique,artistique,rss,art,,ist_ique,artistique,target,s,0.0,1,s,x,artixtique,0,10,real,block2
sexuamité,sexualité,rss,sex,,ual_ité,sexualité,target,s,0.0,2,l,m,sexuamité,3,9,real,block2
hurricane,hurrifane,r,hurricane,,,hurricane,control,r,,5,c,f,hurrifane,1,9,real,block2
réattion,réattion,prs,act,ré,ion,réaction,target,r,,1,c,t,réattion,2,8,real,block2
électrique,électrique,rs,électr,,ique,électrique,target,r,,5,r,n,électnique,0,10,real,block2
guenille,guenille,r,guenille,,,guenille,control,r,,3,n,m,guemille,0,8,real,block2
poursuit,poursuit,pr,suit,pour,,poursuit,target,p,0.0,1,o,e,peursuit,0,8,real,block2
cellophane,cellophame,r,cellophane,,,cellophane,control,r,,8,n,m,cellophame,1,10,real,block2
chambranne,chambranne,r,chambranle,,,chambranle,control,r,,8,l,n,chambranne,2,10,real,block2
angentin,argentin,r,argentin,,,argentin,control,r,,1,r,n,angentin,3,8,real,block2
frambaise,frambaise,r,framboise,,,framboise,control,r,,5,o,a,frambaise,2,9,real,block2
dévotion,dévotiom,prs,vot,dé,ion,dévotion,target,s,0.0,2,n,m,dévotiom,1,8,real,block2
clavucule,clavicule,r,clavicule,,,clavicule,control,r,,4,i,u,clavucule,3,9,real,block2
inoffensif,iloffensif,prs,offens,in,if,inoffensif,target,p,0.0,1,n,l,iloffensif,1,10,real,block2
sonorité,conorité,rss,son,,or_ité,sonorité,target,r,,0,s,c,conorité,1,8,real,block2
cathidrale,cathidrale,r,cathédrale,,,cathédrale,control,r,,4,é,i,cathidrale,2,10,real,block2
exactement,exactement,rs,exacte,,ment,exactement,target,r,,2,a,e,exectement,0,10,real,block2
cornichon,cornichon,r,cornichon,,,cornichon,control,r,,4,i,o,cornochon,0,9,real,block2
nenégat,nenégat,prs,nég,re,at,renégat,target,p,0.0,0,r,n,nenégat,2,7,real,block2
preuse,preuse,r,preuve,,,preuve,control,r,,4,v,s,preuse,2,6,real,block2
ircurable,ircurable,prs,cur,in,able,incurable,target,p,0.0,1,n,r,ircurable,2,9,real,block2
lecouvert,lecouvert,pr,couvert,re,,recouvert,target,p,0.0,0,r,l,lecouvert,2,9,real,block2
peêle,poêle,r,poêle,,,poêle,control,r,,1,o,e,peêle,3,5,real,block2
dangereuse,dangerease,rs,danger,,euse,dangereuse,target,s,0.0,1,u,a,dangerease,1,10,real,block2
agolité,agolité,rss,ag,,il_ité,agilité,target,s,0.0,0,i,o,agolité,2,7,real,block2
rhinocéros,mhinocéros,r,rhinocéros,,,rhinocéros,control,r,,0,r,m,mhinocéros,1,10,real,block2
incessant,incessant,prs,cess,in,ant,incessant,target,s,0.0,1,n,l,incessalt,0,9,real,block2
heure,heure,r,heure,,,heure,control,r,,0,h,t,teure,0,5,real,block2
irréel,irréel,pr,réel,ir,,irréel,target,r,,3,l,r,irréer,0,6,real,block2
impoli,inpoli,pr,poli,im,,impoli,target,p,0.0,1,m,n,inpoli,1,6,real,block2
conseil,conceil,r,conseil,,,conseil,control,r,,3,s,c,conceil,1,7,real,block2
lieutenalt,lieutenant,r,lieutenant,,,lieutenant,control,r,,8,n,l,lieutenalt,3,10,real,block2
cappuccino,cappuccine,r,cappuccino,,,cappuccino,control,r,,9,o,e,cappuccine,1,10,real,block2
hâtuf,hâtuf,rs,hât,,if,hâtif,target,s,0.0,0,i,u,hâtuf,2,5,real,block2
coyote,coyite,r,coyote,,,coyote,control,r,,3,o,i,coyite,1,6,real,block2
irruption,arruption,prs,rupt,ir,ion,irruption,target,p,0.0,0,i,a,arruption,1,9,real,block2
emmerdear,emmerdear,prs,merd,em,eur,emmerdeur,target,s,0.0,1,u,a,emmerdear,2,9,real,block2
rambarde,rambarde,r,rambarde,,,rambarde,control,r,,2,m,n,ranbarde,0,8,real,block2
idéarisme,idéarisme,rss,idé,,al_isme,idéalisme,target,s,0.0,1,l,r,idéarisme,2,9,real,block2
impurité,impureté,prs,pur,im,ité,impurité,target,s,0.0,0,i,e,impureté,1,8,real,block2
siège,siage,r,siège,,,siège,control,r,,2,è,a,siage,1,5,real,block2
douaille,douaille,r,gouaille,,,gouaille,control,r,,0,g,d,douaille,2,8,real,block2
cougcous,cougcous,r,couscous,,,couscous,control,r,,3,s,g,cougcous,2,8,real,block2
poliscon,polisson,r,polisson,,,polisson,control,r,,5,s,c,poliscon,3,8,real,block2
pizzemia,pizzemia,r,pizzeria,,,pizzeria,control,r,,5,r,m,pizzemia,2,8,real,block2
espérante,espéranto,r,espéranto,,,espéranto,control,r,,8,o,e,espérante,3,9,real,block2
nitoidnemt,nitoidmemt,prs,toid,ni,nemt,nitoidnemt,control,s,0.0,0,n,m,nitoidmemt,1,10,pseudo,block3
pnodirment,prodirment,prs,dir,pro,ment,prodirment,target,p,0.0,1,r,n,pnodirment,3,10,pseudo,block3
neriènremt,neriènremt,prs,rièn,ne,nemt,neriènnemt,control,s,0.0,0,n,r,neriènremt,2,10,pseudo,block3
derionnel,derionnel,rss,dir,,ionn_el,dirionnel,target,r,,1,i,e,derionnel,2,9,pseudo,block3
prérenour,prirenour,ppr,nour,pré_re,,prérenour,target,p,0.0,2,é,i,prirenour,1,9,pseudo,block3
cidvitié,cidvitié,rss,cid,,vi_tié,cidvitié,control,r,,0,c,p,pidvitié,0,8,pseudo,block3
niérptret,miérptret,ppr,tret,mi_érp,,miérptret,control,p,0.0,0,m,n,niérptret,3,9,pseudo,block3
répvért,népvért,pr,vért,rép,,répvért,control,p,0.0,0,r,n,népvért,1,7,pseudo,block3
enlémivité,enlémivité,prss,lém,in,iv_ité,inlémivité,target,p,0.0,0,i,e,enlémivité,2,10,pseudo,block3
redélérage,redélémage,pprs,lém,re_dé,age,redélémage,target,r,,2,m,r,redélérage,3,10,pseudo,block3
retrorat,retrorat,prs,tron,re,at,retronat,target,r,,3,n,r,retrorat,2,8,pseudo,block3
sédnilifre,sédnilifre,pprs,lif,séd_ni,re,sédnilifre,control,p,0.0,2,d,p,sépnilifre,0,10,pseudo,block3
méleqài,mélequi,rs,mél,,equi,mélequi,control,s,0.0,2,u,à,méleqài,3,7,pseudo,block3
sédnanasre,sédnenasre,pprs,nas,séd_ne,re,sédnenasre,control,p,1.0,1,e,a,sédnanasre,3,10,pseudo,block3
sel,sel,r,sal,,,sal,target,r,,1,a,e,sel,2,3,pseudo,block3
tôls,tôls,r,tôlc,,,tôlc,control,r,,3,c,s,tôls,2,4,pseudo,block3
surennièr,sàrennièr,ppr,nièr,sur_en,,surennièr,target,p,0.0,1,u,à,sàrennièr,1,9,pseudo,block3
trocta,trocta,rs,troc,,ta,trocta,control,r,,3,c,p,tropta,0,6,pseudo,block3
désinfiler,désinfiler,pprs,fil,dés_in,er,désinfiler,target,s,0.0,1,r,n,désinfilen,0,10,pseudo,block3
snalas,snalas,rs,snal,,at,snalat,target,s,0.0,1,t,s,snalas,2,6,pseudo,block3
